Timestamp;User Level;Group Event;Value1;Value2;Value3;Value4
1733534343;7;361;9113;27548;13375;31676
1733533858;5;588;3000;20844;26518;27566
1733530444;5;655;20320;9751;0;0
1733527193;5;679;23188;28746;11633;12963
1733524801;6;227;20218;9767;0;0
1733523672;7;341;11294;27766;20723;27698
1733522097;4;233;13818;12824;17936;17623
1733518634;0;570;16187;9480;2129;15921
1733517758;1;226;18574;18920;502;10879
1733515469;0;205;16884;196;26536;13911
1733513382;1;148;1494;26553;2497;17347
1733513206;8;527;29284;6407;29052;4474
1733511787;0;228;2346;104;2907;17841
1733509102;6;278;12623;29228;7557;16140
1733505880;6;126;7298;4346;25855;6588
1733503332;1;112;29682;7695;3397;20514
1733502744;4;110;4827;9606;8420;30770
1733500694;6;679;686;13847;24371;20509
1733497467;6;593;28481;11828;23400;1625
1733497352;7;174;30429;16379;27997;10683
1733496247;8;454;15166;30096;21805;10471
1733494352;5;114;22406;6637;2394;30862
1733493737;7;170;19355;13311;7917;30007
1733491466;7;454;13284;2486;13300;29145
1733490528;3;334;17220;5752;29626;6255
1733487821;0;210;16633;13873;20576;25039
1733487137;0;543;13807;3730;19200;24892
1733484627;5;175;16702;17186;10123;15587
1733481660;4;254;3437;21529;21623;28868
1733478473;7;613;3346;16457;4416;24204
1733476217;2;194;32119;2822;3543;20864
1733474292;7;315;24804;17445;2295;13316
1733473976;8;655;4750;7923;24841;20859
1733472624;1;156;31260;29876;3561;26619
1733471271;2;353;22017;22515;31475;21818
1733469484;3;433;7864;9306;15353;23080
1733467517;0;471;25386;28988;4765;12485
1733467493;6;152;15042;32011;6934;24749
1733466007;4;171;9125;11151;32384;15973
1733464557;0;337;29473;15749;4186;25194
1733462825;1;560;17111;24620;6861;4649
1733462557;1;335;3637;25720;32406;10662
1733462495;2;441;9449;6277;2303;32300
1733459977;7;158;3209;4969;19031;12786
1733458429;8;207;14179;30183;24209;6010
1733457747;1;565;29533;27533;31135;5613
1733457557;4;683;19740;19218;4363;15011
1733454088;6;258;17973;8811;6448;13565
1733450786;2;434;17389;32219;32292;21092
1733450312;2;243;2822;19686;6018;20878
1733448739;8;676;25010;28122;16896;22548
1733447510;3;231;28467;27310;7074;24188
1733445292;6;563;1661;20010;173;10419
1733444135;2;217;25855;20210;8664;22810
1733440716;7;556;27643;27733;5135;23196
1733438390;2;481;13446;18563;11046;649
1733435571;5;600;23105;25288;24147;15420
1733433128;4;474;19111;4365;2573;3731
1733432925;5;319;3391;10792;4037;18746
1733431392;7;309;15365;22431;27148;24289
1733429540;4;288;1461;14264;14977;22384
1733428727;7;635;23000;408;14868;8097
1733428418;6;387;32616;10407;15585;6572
1733426620;0;382;9415;32665;28354;14391
1733425053;0;206;4323;29857;31866;29648
1733424732;3;437;13269;24880;17069;32045
1733423858;8;454;1130;24572;27845;24920
1733420499;4;438;26240;11353;7772;15846
1733419355;7;298;1129;4349;25619;1495
1733417474;4;208;9466;26542;27530;4965
1733415509;8;657;10972;4914;5908;15465
1733412033;3;477;23182;20052;13613;12800
1733409566;6;383;12187;6452;22688;23594
1733406625;7;363;22027;16143;25648;24484
1733403444;4;663;8407;12491;5069;32329
1733402718;4;689;2017;4831;18842;14358
1733399422;0;341;12353;6879;32436;25703
1733398998;3;198;11790;21866;13838;11295
1733395400;6;531;16578;32010;18920;7906
1733392542;5;612;21963;26302;19884;17599
1733392218;2;189;28008;14602;21533;16640
1733388980;8;518;29523;28813;237;19303
1733387460;4;430;168;14700;8825;31362
1733385136;4;263;3108;30130;21566;31578
1733383786;6;702;25446;3714;6487;30024
1733382383;0;283;18980;14815;17403;30946
1733379263;7;681;15955;20724;28411;18283
1733376741;4;419;10116;17671;32189;10689
1733376071;4;607;7070;24528;13864;15976
1733375937;6;653;32618;30837;12100;31784
1733375739;5;480;6911;21592;2024;28871
1733372917;6;479;24130;18234;6214;9004
1733371258;3;164;29246;32121;25318;3289
1733369802;2;275;32112;8796;22283;6321
1733368277;3;584;12814;32081;32046;30072
1733366669;0;135;11196;4442;10644;3932
1733365660;4;420;26295;16636;18510;24271
1733365064;5;444;22752;28613;29644;18523
1733362729;5;521;14625;12743;261;31147
1733360687;8;579;6503;46;6960;27852
1733358166;2;429;31118;5124;21027;20857
1733355150;7;195;5134;23552;23691;18311
1733352893;2;602;398;5095;8413;5126
1733349746;4;536;29352;28230;31045;3990
1733347338;3;334;28143;13323;650;5901
1733345281;8;511;26385;22364;6716;10021
1733341864;5;644;21067;23746;19536;24831
1733340580;6;135;25650;26808;19110;31782
1733338544;2;641;7549;17583;8456;21764
1733336163;5;413;6577;17311;3499;10901
1733335800;3;117;10729;27712;3334;6611
1733332839;4;110;8681;28800;27961;23546
1733330494;5;408;26616;25678;27848;21347
1733328988;1;568;16047;849;7388;21936
1733328698;6;529;15600;14409;23466;26076
1733328646;6;196;7279;9761;19441;8851
1733327600;0;304;20097;29498;32550;25732
1733325706;7;407;31010;13496;20140;16540
1733323225;0;607;10468;25893;28469;14135
1733322864;0;579;32401;17892;28633;7613
1733319357;8;502;10402;20517;20183;9683
1733317828;1;559;1745;20975;15051;1219
1733316727;8;384;18127;19650;29443;27225
1733316417;4;444;7604;18217;25475;11645
1733314785;6;198;4908;10156;24535;28469
1733311960;4;223;1520;20608;2412;9451
1733310338;0;374;8681;26832;17845;24011
1733309569;8;498;19646;12078;12970;29822
1733308714;7;605;270;26176;15468;30993
1733305529;4;492;31885;18578;9983;29393
1733305319;2;575;14425;30866;3063;469
1733302870;7;136;19061;24305;8655;25558
1733301118;8;298;30185;27496;13263;5035
1733298480;0;233;21319;7878;2331;13201
1733297088;2;549;5678;20071;5327;13696
1733294683;6;510;27861;15147;28688;12288
1733292086;8;513;8952;21524;6480;14661
1733289849;4;644;9056;6531;20463;5635
1733286648;7;106;6904;8953;10925;30396
1733283826;5;418;14121;12405;19542;30196
1733283278;0;416;8404;25594;29845;31954
1733280307;2;129;27805;7;18223;1849
1733279987;8;627;27162;626;389;7193
1733277108;6;588;30958;29559;1798;29532
1733273650;0;603;11274;26698;14036;14731
1733271610;2;624;23901;499;10318;32
1733270519;7;185;826;11100;25864;5758
1733267516;4;230;9880;27088;23615;23567
1733264710;3;220;8456;3221;30656;17592
1733261643;0;150;14166;4405;5400;746
1733258355;4;408;26817;7717;24286;28835
1733255611;2;402;14174;9495;8297;3601
1733255209;8;487;21108;2292;371;22258
1733254041;1;272;21032;21951;15219;8164
1733253264;5;606;27574;29433;6461;8113
1733250412;0;602;1407;28032;31117;15514
1733248386;0;373;20819;25763;23360;3537
1733247532;5;312;1741;4233;4320;5158
1733247473;8;407;21572;30283;17129;1671
1733243934;5;649;5024;15945;29526;896
1733243114;7;365;8085;19510;15810;12694
1733240097;2;537;4730;32129;15773;24710
1733236604;3;296;23990;17324;27968;17135
1733234478;8;242;26150;6875;5915;8564
1733234051;3;115;16839;27067;18929;2213
1733232627;6;139;2919;1053;3271;12192
1733232340;3;482;22233;9746;31552;31533
1733230029;2;158;18415;5565;12414;21011
1733227160;0;330;874;4071;11325;4865
1733223852;5;473;17318;16406;7127;12456
1733222305;5;292;26702;12478;474;3689
1733219192;6;400;22225;11318;17763;23184
1733217885;6;300;27630;27091;30504;4702
1733216325;4;617;3689;9047;6436;28345
1733215111;5;112;13561;12989;5648;1856
1733213471;7;616;15801;31233;11606;4558
1733211413;7;508;15418;32446;4046;9415
1733209312;6;358;17182;14259;41;8858
